"Curvature","Variability","xMid","sigma","alphahat","betahat","thetahat","replicate","statistic"
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,1,108.763278900392
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,2,95.4123366968683
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,3,110.829322184521
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,4,93.7250867194591
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,5,108.952029846441
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,6,92.4800595458002
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,7,77.0804326684811
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,8,127.845464326169
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,9,100.468168504928
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,10,76.4593993461208
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,11,89.6116413043226
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,12,99.2550419327731
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,13,96.1619832700101
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,14,77.6610058469637
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,15,105.147820138612
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,16,79.6847560137125
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,17,84.1542605714074
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,18,91.4202916094659
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,19,64.4858471249775
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,20,102.028633123483
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,21,70.2064464295014
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,22,88.1359565975472
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,23,70.7292728266914
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,24,112.095958331812
"Obvious Curvature","Low",14.5,0.25,0.911637858628975,0.230109681833433,9.10145798620311,25,76.5960528878482
