Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
623b6cd433d863fb09c85ac4,60d22e4c0729c7fea9eff7f4,APPROVED,2022-03-23T18:57:41.731000Z,2022-03-23T19:20:40.593000Z,2022-03-23T19:50:04.418000Z,,1379,52BD9173,110,"English, Hungarian",21,Male,White,Hungary,Netherlands,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
623b6cd872e9f0455afe29d3,60f224aecd1b7677af1ad3a3,APPROVED,2022-03-23T18:54:16.241000Z,2022-03-23T19:33:23.583000Z,2022-03-23T19:59:13.337000Z,,2348,52BD9173,111,"English, Swedish, Norwegian, Danish",21,Female,White,Norway,Norway,Norway,Norwegian,DATA_EXPIRED,DATA_EXPIRED
623b6ce0b429454d892bdbce,5fb45818d84de3123a4304f8,APPROVED,2022-03-23T18:54:23.998000Z,2022-03-23T19:21:57.317000Z,2022-03-23T19:50:51.828000Z,,1654,52BD9173,229,"Greek, English",23,Male,White,Greece,Greece,Greece,Greek,Yes,DATA_EXPIRED
623b6cf4239de9fe03eeb332,5df938ca8390796b7ce84de1,APPROVED,2022-03-23T18:54:44.328000Z,2022-03-23T20:06:36.338000Z,2022-03-23T20:14:15.119000Z,,4313,52BD9173,384,"Spanish, English",39,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
623b6cf8aafeb1e4318bdc8a,615b97476cd7cfa5981594fc,REJECTED,2022-03-23T18:55:21.325000Z,2022-03-23T19:45:07.219000Z,2022-03-29T12:44:12.191000Z,,2986,NOCODE,26,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
623b6cf8c000ffdfe3209bde,610bba2da7acf1a9ee102db5,APPROVED,2022-03-23T18:57:12.262000Z,2022-03-23T20:01:31.807000Z,2022-03-23T20:01:31.997000Z,,3860,Manual Completion,44,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
623b6cfc58bae5ea3324c936,60f321005311bdeb8a95af1f,APPROVED,2022-03-23T18:54:52.088000Z,2022-03-23T19:23:35.016000Z,2022-03-23T19:50:48.281000Z,,1723,52BD9173,79,"English, Portuguese",25,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
623b6d0742163a576c16d903,5ede9fdfbed90713dca0aa08,APPROVED,2022-03-23T18:55:27.246000Z,2022-03-23T19:20:58.949000Z,2022-03-23T19:50:42.680000Z,,1532,52BD9173,215,English,37,Female,White,South Africa,South Africa,South Africa,English,No,Part-Time
623b6d13e6b0c734891770b9,5efd991c8d99db1ed7f595b6,APPROVED,2022-03-23T18:55:22.055000Z,2022-03-23T19:36:28.386000Z,2022-03-23T19:50:43.843000Z,,2467,52BD9173,102,"Italian, English, French",42,Female,White,Italy,Italy,Italy,Italian,No,Part-Time
623b6d15263a496c9c61bba1,614a8fca5dae9336bc1f7bbd,APPROVED,2022-03-23T18:57:45.040000Z,2022-03-23T19:23:33.997000Z,2022-03-23T19:50:03.060000Z,,1549,52BD9173,61,"English, Spanish",25,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,Full-Time
