"evaluation_id","participant_id","n_lineups","age","gender","academic_study","computer_mouse","recruitment","dataset_id","set","curvature","target","null","scale","correct","response_no","conf_level","choice_reason"
"d61a69c248335d463dccffa086699c4c","68c1934bf5e5e1327344324e1f615a88",1,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","542189b4235951184f3a0e93d2041d76","1","t-E_n-E","E","E","linear",20,"6","Neutral","Clustering, Different range"
"d61a69c248335d463dccffa086699c4c","68c1934bf5e5e1327344324e1f615a88",1,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","542189b4235951184f3a0e93d2041d76","1","t-E_n-E","E","E","linear",20,"3","Neutral","Clustering, Different range"
"84c392f926226c9f5b7c1b984c868221","03e791a1817ef22c40e1a2ff3a42e43b",1,"56-60","Female","Graduate Degree","Yes","Prolific","542189b4235951184f3a0e93d2041d76","1","t-E_n-E","E","E","linear",20,"3","Uncertain","Different shape"
"13e72c242214915e3e43973daa4665f5","a24b5e2ed09da0ba8e10163e67d87534",2,"19-25","Male","Prefer not to answer","Yes","Prolific","542189b4235951184f3a0e93d2041d76","1","t-E_n-E","E","E","linear",20,"20","Neutral","Clustering"
"09910b4ccd4c7959638a465767bdf1ed","a24b5e2ed09da0ba8e10163e67d87534",2,"19-25","Male","Prefer not to answer","Yes","Prolific","a74724d41c798fb43dd4a73336a93419","2","t-H_n-H","H","H","log",1,"18","Very Uncertain","Different range"
"544ebe80b5b86544b13278a199ac5c4c","e12649087db38125c794127eae7c147a",3,"31-35","Male","High School or Less","No","Prolific","542189b4235951184f3a0e93d2041d76","1","t-E_n-E","E","E","linear",20,"20","Certain","Different range"
"342425ad988c128c7d6333a3d1697e44","e12649087db38125c794127eae7c147a",3,"31-35","Male","High School or Less","No","Prolific","bd5bdb06d41d12211476de91c279571d","1","t-H_n-H","H","H","log",13,"12","Certain","Clustering"
"c22ad2fc4945d4bbee3f6281276df873","e12649087db38125c794127eae7c147a",3,"31-35","Male","High School or Less","No","Prolific","a74724d41c798fb43dd4a73336a93419","2","t-H_n-H","H","H","log",1,"18","Certain","Clustering"
"c22ad2fc4945d4bbee3f6281276df873","e12649087db38125c794127eae7c147a",3,"31-35","Male","High School or Less","No","Prolific","a74724d41c798fb43dd4a73336a93419","2","t-H_n-H","H","H","log",1,"8","Certain","Clustering"
"feac43b711f3e2019e805e9af35fdc57","e6f6b84728ecf51df68102180e721976",1,"26-30","Female","Undergraduate Degree","Yes","Prolific","bd5bdb06d41d12211476de91c279571d","1","t-H_n-H","H","H","linear",13,"12","Very Certain","Different range"
"4a13ae860686722ca997ea6933a205e6","6bc95d7a742201953b1c14f604ad258c",1,"36-40","Female","Graduate Degree","Yes","Prolific","a74724d41c798fb43dd4a73336a93419","2","t-H_n-H","H","H","log",1,"14","Neutral","Clustering"
