"dec_date","value","type","unit","scenario"
1957,2.43284264389349e-09,"Memory","MB per $1 spent",1
1959,1.47171962408372e-08,"Memory","MB per $1 spent",1
1960,1.9073486328125e-07,"Memory","MB per $1 spent",1
1965,3.78442189050099e-07,"Memory","MB per $1 spent",1
1970,1.36239188058036e-06,"Memory","MB per $1 spent",1
1973,2.50400641025641e-06,"Memory","MB per $1 spent",1
1974,3.17891438802083e-06,"Memory","MB per $1 spent",1
1975,2.37029733009709e-06,"Memory","MB per $1 spent",1
1975.08,5.54865056818182e-06,"Memory","MB per $1 spent",1
1975.25,1.47964015151515e-05,"Memory","MB per $1 spent",1
1975.75,2.00320512820513e-05,"Memory","MB per $1 spent",1
1976,2.45676100628931e-05,"Memory","MB per $1 spent",1
1976.17,2.04248366013072e-05,"Memory","MB per $1 spent",1
1976.42,4.34027777777778e-05,"Memory","MB per $1 spent",1
1976.58,3.125e-05,"Memory","MB per $1 spent",1
1977.08,2.71739130434783e-05,"Memory","MB per $1 spent",1
1978.17,3.57142857142857e-05,"Memory","MB per $1 spent",1
1978.25,3.39673913043478e-05,"Memory","MB per $1 spent",1
1978.33,5.20833333333333e-05,"Memory","MB per $1 spent",1
1978.5,4.16666666666667e-05,"Memory","MB per $1 spent",1
1978.58,6.25e-05,"Memory","MB per $1 spent",1
1978.75,6.57894736842105e-05,"Memory","MB per $1 spent",1
1979,9.49848024316109e-05,"Memory","MB per $1 spent",1
1979.75,0.000149164677804296,"Memory","MB per $1 spent",1
1980,0.000154320987654321,"Memory","MB per $1 spent",1
1981,0.000113636363636364,"Memory","MB per $1 spent",1
1981.58,0.000223254152527237,"Memory","MB per $1 spent",1
1982,0.000284090909090909,"Memory","MB per $1 spent",1
1982.17,0.000224014336917563,"Memory","MB per $1 spent",1
1982.67,0.000505050505050505,"Memory","MB per $1 spent",1
1983,0.000417362270450751,"Memory","MB per $1 spent",1
1983.67,0.000505050505050505,"Memory","MB per $1 spent",1
1984,0.000725338491295938,"Memory","MB per $1 spent",1
1984.58,0.000751503006012024,"Memory","MB per $1 spent",1
1985,0.00113636363636364,"Memory","MB per $1 spent",1
1985.33,0.00138888888888889,"Memory","MB per $1 spent",1
1985.42,0.00181818181818182,"Memory","MB per $1 spent",1
1985.5,0.00238095238095238,"Memory","MB per $1 spent",1
1985.58,0.00286123032904149,"Memory","MB per $1 spent",1
1985.67,0.00333889816360601,"Memory","MB per $1 spent",1
1985.83,0.00333889816360601,"Memory","MB per $1 spent",1
1985.92,0.00333889816360601,"Memory","MB per $1 spent",1
1986,0.00333889816360601,"Memory","MB per $1 spent",1
1986.08,0.00333889816360601,"Memory","MB per $1 spent",1
1986.17,0.00333889816360601,"Memory","MB per $1 spent",1
1986.25,0.00333889816360601,"Memory","MB per $1 spent",1
1986.33,0.00527704485488127,"Memory","MB per $1 spent",1
1986.42,0.00527704485488127,"Memory","MB per $1 spent",1
1986.5,0.00527704485488127,"Memory","MB per $1 spent",1
1986.58,0.00527704485488127,"Memory","MB per $1 spent",1
1986.67,0.00527704485488127,"Memory","MB per $1 spent",1
1986.75,0.00527704485488127,"Memory","MB per $1 spent",1
1986.92,0.00527704485488127,"Memory","MB per $1 spent",1
1987,0.00567644276253548,"Memory","MB per $1 spent",1
1987.08,0.00567644276253548,"Memory","MB per $1 spent",1
1987.17,0.00636942675159236,"Memory","MB per $1 spent",1
1987.25,0.00650723930372539,"Memory","MB per $1 spent",1
1987.33,0.00650723930372539,"Memory","MB per $1 spent",1
1987.42,0.00650723930372539,"Memory","MB per $1 spent",1
1987.5,0.00650723930372539,"Memory","MB per $1 spent",1
1987.58,0.00650723930372539,"Memory","MB per $1 spent",1
1987.67,0.00614162589309476,"Memory","MB per $1 spent",1
